"Story","Title","Result","Date","Stability","Duration (s)"
"Crear usuario PetStore","Crear usuario","SUCCESS","2025-10-06T20:35:26.1833242-05:00[America/Lima]","0.0","11.1"
"Store API - Crear y consultar orden","Crear y consultar una orden en la tienda","SUCCESS","2025-10-06T20:35:26.1682196-05:00[America/Lima]","0.0","8.38"
